Year,Race,Driver,Team,LapNumber,LapTime_seconds,Position,TireCompound,TireAge
2025,14,NOR,McLaren,1.0,90.12,5.0,MEDIUM,1.0
2025,14,NOR,McLaren,2.0,83.964,5.0,MEDIUM,2.0
2025,14,NOR,McLaren,3.0,83.223,4.0,MEDIUM,3.0
2025,14,NOR,McLaren,4.0,82.877,4.0,MEDIUM,4.0
2025,14,NOR,McLaren,5.0,82.639,4.0,MEDIUM,5.0
2025,14,NOR,McLaren,6.0,82.181,4.0,MEDIUM,6.0
2025,14,NOR,McLaren,7.0,82.217,4.0,MEDIUM,7.0
2025,14,NOR,McLaren,8.0,81.986,4.0,MEDIUM,8.0
2025,14,NOR,McLaren,9.0,81.579,4.0,MEDIUM,9.0
2025,14,NOR,McLaren,10.0,82.089,4.0,MEDIUM,10.0
2025,14,NOR,McLaren,11.0,82.251,4.0,MEDIUM,11.0
2025,14,NOR,McLaren,12.0,82.404,4.0,MEDIUM,12.0
2025,14,NOR,McLaren,13.0,82.675,4.0,MEDIUM,13.0
2025,14,NOR,McLaren,14.0,82.154,4.0,MEDIUM,14.0
2025,14,NOR,McLaren,15.0,82.233,4.0,MEDIUM,15.0
2025,14,NOR,McLaren,16.0,82.043,4.0,MEDIUM,16.0
2025,14,NOR,McLaren,17.0,82.539,4.0,MEDIUM,17.0
2025,14,NOR,McLaren,18.0,82.189,4.0,MEDIUM,18.0
2025,14,NOR,McLaren,19.0,82.03,2.0,MEDIUM,19.0
2025,14,NOR,McLaren,20.0,81.44,1.0,MEDIUM,20.0
2025,14,NOR,McLaren,21.0,81.707,1.0,MEDIUM,21.0
2025,14,NOR,McLaren,22.0,82.099,1.0,MEDIUM,22.0
2025,14,NOR,McLaren,23.0,82.075,1.0,MEDIUM,23.0
2025,14,NOR,McLaren,24.0,82.117,1.0,MEDIUM,24.0
2025,14,NOR,McLaren,25.0,81.924,1.0,MEDIUM,25.0
2025,14,NOR,McLaren,26.0,82.145,1.0,MEDIUM,26.0
2025,14,NOR,McLaren,27.0,82.125,1.0,MEDIUM,27.0
2025,14,NOR,McLaren,28.0,82.153,1.0,MEDIUM,28.0
2025,14,NOR,McLaren,29.0,82.533,1.0,MEDIUM,29.0
2025,14,NOR,McLaren,30.0,82.633,1.0,MEDIUM,30.0
2025,14,NOR,McLaren,31.0,85.567,2.0,MEDIUM,31.0
2025,14,NOR,McLaren,32.0,99.959,4.0,HARD,2.0
2025,14,NOR,McLaren,33.0,81.411,4.0,HARD,3.0
2025,14,NOR,McLaren,34.0,80.752,4.0,HARD,4.0
2025,14,NOR,McLaren,35.0,80.726,4.0,HARD,5.0
2025,14,NOR,McLaren,36.0,80.557,4.0,HARD,6.0
2025,14,NOR,McLaren,37.0,80.976,4.0,HARD,7.0
2025,14,NOR,McLaren,38.0,80.4,4.0,HARD,8.0
2025,14,NOR,McLaren,39.0,80.301,4.0,HARD,9.0
2025,14,NOR,McLaren,40.0,80.442,4.0,HARD,10.0
2025,14,NOR,McLaren,41.0,80.547,3.0,HARD,11.0
2025,14,NOR,McLaren,42.0,80.471,3.0,HARD,12.0
2025,14,NOR,McLaren,43.0,81.447,2.0,HARD,13.0
2025,14,NOR,McLaren,44.0,80.146,2.0,HARD,14.0
2025,14,NOR,McLaren,45.0,80.703,2.0,HARD,15.0
2025,14,NOR,McLaren,46.0,80.377,1.0,HARD,16.0
2025,14,NOR,McLaren,47.0,80.358,1.0,HARD,17.0
2025,14,NOR,McLaren,48.0,80.543,1.0,HARD,18.0
2025,14,NOR,McLaren,49.0,80.472,1.0,HARD,19.0
2025,14,NOR,McLaren,50.0,80.527,1.0,HARD,20.0
2025,14,NOR,McLaren,51.0,80.779,1.0,HARD,21.0
2025,14,NOR,McLaren,52.0,80.908,1.0,HARD,22.0
2025,14,NOR,McLaren,53.0,80.197,1.0,HARD,23.0
2025,14,NOR,McLaren,54.0,80.157,1.0,HARD,24.0
2025,14,NOR,McLaren,55.0,80.005,1.0,HARD,25.0
2025,14,NOR,McLaren,56.0,80.153,1.0,HARD,26.0
2025,14,NOR,McLaren,57.0,79.918,1.0,HARD,27.0
2025,14,NOR,McLaren,58.0,80.144,1.0,HARD,28.0
2025,14,NOR,McLaren,59.0,79.936,1.0,HARD,29.0
2025,14,NOR,McLaren,60.0,80.157,1.0,HARD,30.0
2025,14,NOR,McLaren,61.0,80.11,1.0,HARD,31.0
2025,14,NOR,McLaren,62.0,80.461,1.0,HARD,32.0
2025,14,NOR,McLaren,63.0,80.82,1.0,HARD,33.0
2025,14,NOR,McLaren,64.0,81.089,1.0,HARD,34.0
2025,14,NOR,McLaren,65.0,80.765,1.0,HARD,35.0
2025,14,NOR,McLaren,66.0,80.597,1.0,HARD,36.0
2025,14,NOR,McLaren,67.0,80.397,1.0,HARD,37.0
2025,14,NOR,McLaren,68.0,80.268,1.0,HARD,38.0
2025,14,NOR,McLaren,69.0,80.63,1.0,HARD,39.0
2025,14,NOR,McLaren,70.0,80.714,1.0,HARD,40.0
2025,14,PIA,McLaren,1.0,88.02,2.0,MEDIUM,1.0
2025,14,PIA,McLaren,2.0,83.242,2.0,MEDIUM,2.0
2025,14,PIA,McLaren,3.0,83.102,2.0,MEDIUM,3.0
2025,14,PIA,McLaren,4.0,82.757,2.0,MEDIUM,4.0
2025,14,PIA,McLaren,5.0,82.652,2.0,MEDIUM,5.0
2025,14,PIA,McLaren,6.0,82.598,2.0,MEDIUM,6.0
2025,14,PIA,McLaren,7.0,82.034,2.0,MEDIUM,7.0
2025,14,PIA,McLaren,8.0,81.94,2.0,MEDIUM,8.0
2025,14,PIA,McLaren,9.0,81.839,2.0,MEDIUM,9.0
2025,14,PIA,McLaren,10.0,81.663,2.0,MEDIUM,10.0
2025,14,PIA,McLaren,11.0,81.9,2.0,MEDIUM,11.0
2025,14,PIA,McLaren,12.0,81.939,2.0,MEDIUM,12.0
2025,14,PIA,McLaren,13.0,82.231,2.0,MEDIUM,13.0
2025,14,PIA,McLaren,14.0,82.065,2.0,MEDIUM,14.0
2025,14,PIA,McLaren,15.0,82.075,2.0,MEDIUM,15.0
2025,14,PIA,McLaren,16.0,82.138,2.0,MEDIUM,16.0
2025,14,PIA,McLaren,17.0,82.056,2.0,MEDIUM,17.0
2025,14,PIA,McLaren,18.0,84.668,2.0,MEDIUM,18.0
2025,14,PIA,McLaren,19.0,98.914,5.0,HARD,2.0
2025,14,PIA,McLaren,20.0,81.08,4.0,HARD,3.0
2025,14,PIA,McLaren,21.0,82.149,4.0,HARD,4.0
2025,14,PIA,McLaren,22.0,81.153,3.0,HARD,5.0
2025,14,PIA,McLaren,23.0,81.127,3.0,HARD,6.0
2025,14,PIA,McLaren,24.0,81.129,3.0,HARD,7.0
2025,14,PIA,McLaren,25.0,80.898,3.0,HARD,8.0
2025,14,PIA,McLaren,26.0,81.035,3.0,HARD,9.0
