Year,Race,Driver,Team,LapNumber,LapTime_seconds,Position,TireCompound,TireAge,PositionGroup,driver_win_rate,start_position,positions_gained,tire_degradation,race_phase,team_reliability
2025,16,VER,Red Bull Racing,1.0,87.159,1.0,MEDIUM,1.0,Top 5,0.0,1.0,0.0,-0.018999999999991246,Early,94.44444444444444
2025,16,VER,Red Bull Racing,2.0,84.859,2.0,MEDIUM,2.0,Top 5,0.0,1.0,-1.0,-2.3000000000000114,Early,94.44444444444444
2025,16,VER,Red Bull Racing,3.0,83.512,2.0,MEDIUM,3.0,Top 5,0.0,1.0,-1.0,-1.3469999999999942,Early,94.44444444444444
2025,16,VER,Red Bull Racing,4.0,83.262,1.0,MEDIUM,4.0,Top 5,0.0,1.0,0.0,-0.25,Early,94.44444444444444
2025,16,VER,Red Bull Racing,5.0,83.588,1.0,MEDIUM,5.0,Top 5,0.0,1.0,0.0,0.3259999999999934,Early,94.44444444444444
2025,16,VER,Red Bull Racing,6.0,83.576,1.0,MEDIUM,6.0,Top 5,0.0,1.0,0.0,-0.012000000000000455,Early,94.44444444444444
2025,16,VER,Red Bull Racing,7.0,83.31,1.0,MEDIUM,7.0,Top 5,0.0,1.0,0.0,-0.26599999999999113,Early,94.44444444444444
2025,16,VER,Red Bull Racing,8.0,83.139,1.0,MEDIUM,8.0,Top 5,0.0,1.0,0.0,-0.17100000000000648,Early,94.44444444444444
2025,16,VER,Red Bull Racing,9.0,83.101,1.0,MEDIUM,9.0,Top 5,0.0,1.0,0.0,-0.0379999999999967,Early,94.44444444444444
2025,16,VER,Red Bull Racing,10.0,83.088,1.0,MEDIUM,10.0,Top 5,0.0,1.0,0.0,-0.01300000000000523,Early,94.44444444444444
2025,16,VER,Red Bull Racing,11.0,83.066,1.0,MEDIUM,11.0,Top 5,0.0,1.0,0.0,-0.02199999999999136,Early,94.44444444444444
2025,16,VER,Red Bull Racing,12.0,83.014,1.0,MEDIUM,12.0,Top 5,0.0,1.0,0.0,-0.05200000000000671,Early,94.44444444444444
2025,16,VER,Red Bull Racing,13.0,83.254,1.0,MEDIUM,13.0,Top 5,0.0,1.0,0.0,0.2400000000000091,Early,94.44444444444444
2025,16,VER,Red Bull Racing,14.0,83.118,1.0,MEDIUM,14.0,Top 5,0.0,1.0,0.0,-0.1360000000000099,Early,94.44444444444444
2025,16,VER,Red Bull Racing,15.0,83.077,1.0,MEDIUM,15.0,Top 5,0.0,1.0,0.0,-0.04099999999999682,Early,94.44444444444444
2025,16,VER,Red Bull Racing,16.0,83.001,1.0,MEDIUM,16.0,Top 5,0.0,1.0,0.0,-0.0759999999999934,Middle,94.44444444444444
