Year,Race,Driver,Team,LapNumber,LapTime_seconds,Position,TireCompound,TireAge
2024,1,VER,Red Bull Racing,1.0,97.284,1.0,SOFT,4.0
2024,1,VER,Red Bull Racing,2.0,96.296,1.0,SOFT,5.0
2024,1,VER,Red Bull Racing,3.0,96.753,1.0,SOFT,6.0
2024,1,VER,Red Bull Racing,4.0,96.647,1.0,SOFT,7.0
2024,1,VER,Red Bull Racing,5.0,97.173,1.0,SOFT,8.0
2024,1,VER,Red Bull Racing,6.0,97.092,1.0,SOFT,9.0
2024,1,VER,Red Bull Racing,7.0,97.038,1.0,SOFT,10.0
2024,1,VER,Red Bull Racing,8.0,97.024,1.0,SOFT,11.0
2024,1,VER,Red Bull Racing,9.0,97.229,1.0,SOFT,12.0
2024,1,VER,Red Bull Racing,10.0,96.96,1.0,SOFT,13.0
2024,1,VER,Red Bull Racing,11.0,97.085,1.0,SOFT,14.0
2024,1,VER,Red Bull Racing,12.0,97.045,1.0,SOFT,15.0
2024,1,VER,Red Bull Racing,13.0,97.03,1.0,SOFT,16.0
2024,1,VER,Red Bull Racing,14.0,97.028,1.0,SOFT,17.0
2024,1,VER,Red Bull Racing,15.0,97.011,1.0,SOFT,18.0
2024,1,VER,Red Bull Racing,16.0,97.168,1.0,SOFT,19.0
2024,1,VER,Red Bull Racing,17.0,99.896,1.0,SOFT,20.0
2024,1,VER,Red Bull Racing,18.0,117.854,1.0,HARD,1.0
2024,1,VER,Red Bull Racing,19.0,95.283,1.0,HARD,2.0
2024,1,VER,Red Bull Racing,20.0,95.16,1.0,HARD,3.0
2024,1,VER,Red Bull Racing,21.0,95.316,1.0,HARD,4.0
2024,1,VER,Red Bull Racing,22.0,95.204,1.0,HARD,5.0
2024,1,VER,Red Bull Racing,23.0,95.216,1.0,HARD,6.0
2024,1,VER,Red Bull Racing,24.0,95.289,1.0,HARD,7.0
2024,1,VER,Red Bull Racing,25.0,95.342,1.0,HARD,8.0
2024,1,VER,Red Bull Racing,26.0,95.223,1.0,HARD,9.0
2024,1,VER,Red Bull Racing,27.0,95.581,1.0,HARD,10.0
2024,1,VER,Red Bull Racing,28.0,95.477,1.0,HARD,11.0
2024,1,VER,Red Bull Racing,29.0,95.793,1.0,HARD,12.0
2024,1,VER,Red Bull Racing,30.0,95.771,1.0,HARD,13.0
2024,1,VER,Red Bull Racing,31.0,95.679,1.0,HARD,14.0
2024,1,VER,Red Bull Racing,32.0,95.886,1.0,HARD,15.0
2024,1,VER,Red Bull Racing,33.0,95.863,1.0,HARD,16.0
2024,1,VER,Red Bull Racing,34.0,96.133,1.0,HARD,17.0
2024,1,VER,Red Bull Racing,35.0,96.018,1.0,HARD,18.0
2024,1,VER,Red Bull Racing,36.0,96.205,1.0,HARD,19.0
2024,1,VER,Red Bull Racing,37.0,99.234,1.0,HARD,20.0
2024,1,VER,Red Bull Racing,38.0,116.445,1.0,SOFT,1.0
2024,1,VER,Red Bull Racing,39.0,92.608,1.0,SOFT,2.0
2024,1,VER,Red Bull Racing,40.0,96.589,1.0,SOFT,3.0
2024,1,VER,Red Bull Racing,41.0,95.29,1.0,SOFT,4.0
2024,1,VER,Red Bull Racing,42.0,94.667,1.0,SOFT,5.0
2024,1,VER,Red Bull Racing,43.0,94.151,1.0,SOFT,6.0
2024,1,VER,Red Bull Racing,44.0,94.531,1.0,SOFT,7.0
2024,1,VER,Red Bull Racing,45.0,94.249,1.0,SOFT,8.0
2024,1,VER,Red Bull Racing,46.0,94.193,1.0,SOFT,9.0
2024,1,VER,Red Bull Racing,47.0,94.239,1.0,SOFT,10.0
2024,1,VER,Red Bull Racing,48.0,94.35,1.0,SOFT,11.0
2024,1,VER,Red Bull Racing,49.0,94.403,1.0,SOFT,12.0
2024,1,VER,Red Bull Racing,50.0,94.783,1.0,SOFT,13.0
2024,1,VER,Red Bull Racing,51.0,94.34,1.0,SOFT,14.0
2024,1,VER,Red Bull Racing,52.0,94.906,1.0,SOFT,15.0
2024,1,VER,Red Bull Racing,53.0,95.6,1.0,SOFT,16.0
2024,1,VER,Red Bull Racing,54.0,95.334,1.0,SOFT,17.0
2024,1,VER,Red Bull Racing,55.0,95.184,1.0,SOFT,18.0
2024,1,VER,Red Bull Racing,56.0,94.671,1.0,SOFT,19.0
2024,1,VER,Red Bull Racing,57.0,94.923,1.0,SOFT,20.0
2024,1,PER,Red Bull Racing,1.0,100.053,4.0,SOFT,4.0
2024,1,PER,Red Bull Racing,2.0,96.541,4.0,SOFT,5.0
2024,1,PER,Red Bull Racing,3.0,97.297,4.0,SOFT,6.0
2024,1,PER,Red Bull Racing,4.0,97.722,4.0,SOFT,7.0
2024,1,PER,Red Bull Racing,5.0,98.044,4.0,SOFT,8.0
2024,1,PER,Red Bull Racing,6.0,97.823,4.0,SOFT,9.0
2024,1,PER,Red Bull Racing,7.0,97.821,3.0,SOFT,10.0
2024,1,PER,Red Bull Racing,8.0,97.838,3.0,SOFT,11.0
2024,1,PER,Red Bull Racing,9.0,97.596,3.0,SOFT,12.0
2024,1,PER,Red Bull Racing,10.0,97.63,3.0,SOFT,13.0
2024,1,PER,Red Bull Racing,11.0,97.836,2.0,SOFT,14.0
2024,1,PER,Red Bull Racing,12.0,100.277,3.0,SOFT,15.0
2024,1,PER,Red Bull Racing,13.0,117.624,8.0,HARD,1.0
2024,1,PER,Red Bull Racing,14.0,95.606,6.0,HARD,2.0
2024,1,PER,Red Bull Racing,15.0,96.815,3.0,HARD,3.0
2024,1,PER,Red Bull Racing,16.0,95.783,2.0,HARD,4.0
2024,1,PER,Red Bull Racing,17.0,96.454,2.0,HARD,5.0
2024,1,PER,Red Bull Racing,18.0,96.311,2.0,HARD,6.0
2024,1,PER,Red Bull Racing,19.0,96.038,2.0,HARD,7.0
2024,1,PER,Red Bull Racing,20.0,96.278,2.0,HARD,8.0
2024,1,PER,Red Bull Racing,21.0,96.165,2.0,HARD,9.0
2024,1,PER,Red Bull Racing,22.0,96.037,2.0,HARD,10.0
2024,1,PER,Red Bull Racing,23.0,96.249,2.0,HARD,11.0
2024,1,PER,Red Bull Racing,24.0,96.211,2.0,HARD,12.0
2024,1,PER,Red Bull Racing,25.0,96.344,2.0,HARD,13.0
2024,1,PER,Red Bull Racing,26.0,96.347,2.0,HARD,14.0
2024,1,PER,Red Bull Racing,27.0,96.233,2.0,HARD,15.0
2024,1,PER,Red Bull Racing,28.0,96.226,2.0,HARD,16.0
2024,1,PER,Red Bull Racing,29.0,96.437,2.0,HARD,17.0
2024,1,PER,Red Bull Racing,30.0,96.313,2.0,HARD,18.0
2024,1,PER,Red Bull Racing,31.0,96.339,2.0,HARD,19.0
2024,1,PER,Red Bull Racing,32.0,96.276,2.0,HARD,20.0
2024,1,PER,Red Bull Racing,33.0,96.564,2.0,HARD,21.0
2024,1,PER,Red Bull Racing,34.0,96.378,2.0,HARD,22.0
2024,1,PER,Red Bull Racing,35.0,96.776,2.0,HARD,23.0
2024,1,PER,Red Bull Racing,36.0,99.365,2.0,HARD,24.0
2024,1,PER,Red Bull Racing,37.0,115.808,2.0,SOFT,1.0
2024,1,PER,Red Bull Racing,38.0,94.804,2.0,SOFT,2.0
2024,1,PER,Red Bull Racing,39.0,94.607,2.0,SOFT,3.0
2024,1,PER,Red Bull Racing,40.0,94.364,2.0,SOFT,4.0
2024,1,PER,Red Bull Racing,41.0,94.4,2.0,SOFT,5.0
2024,1,PER,Red Bull Racing,42.0,94.525,2.0,SOFT,6.0
2024,1,PER,Red Bull Racing,43.0,94.797,2.0,SOFT,7.0
2024,1,PER,Red Bull Racing,44.0,94.799,2.0,SOFT,8.0
2024,1,PER,Red Bull Racing,45.0,94.592,2.0,SOFT,9.0
2024,1,PER,Red Bull Racing,46.0,94.844,2.0,SOFT,10.0
2024,1,PER,Red Bull Racing,47.0,94.73,2.0,SOFT,11.0
2024,1,PER,Red Bull Racing,48.0,94.885,2.0,SOFT,12.0
2024,1,PER,Red Bull Racing,49.0,94.966,2.0,SOFT,13.0
2024,1,PER,Red Bull Racing,50.0,95.082,2.0,SOFT,14.0
2024,1,PER,Red Bull Racing,51.0,94.94,2.0,SOFT,15.0
2024,1,PER,Red Bull Racing,52.0,95.183,2.0,SOFT,16.0
2024,1,PER,Red Bull Racing,53.0,95.842,2.0,SOFT,17.0
2024,1,PER,Red Bull Racing,54.0,95.459,2.0,SOFT,18.0
2024,1,PER,Red Bull Racing,55.0,95.611,2.0,SOFT,19.0
2024,1,PER,Red Bull Racing,56.0,95.568,2.0,SOFT,20.0
2024,1,PER,Red Bull Racing,57.0,95.746,2.0,SOFT,21.0
2024,1,SAI,Ferrari,1.0,100.62,5.0,SOFT,4.0
2024,1,SAI,Ferrari,2.0,97.236,5.0,SOFT,5.0
2024,1,SAI,Ferrari,3.0,97.08,5.0,SOFT,6.0
2024,1,SAI,Ferrari,4.0,97.264,5.0,SOFT,7.0
2024,1,SAI,Ferrari,5.0,98.032,5.0,SOFT,8.0
2024,1,SAI,Ferrari,6.0,97.741,5.0,SOFT,9.0
2024,1,SAI,Ferrari,7.0,98.26,5.0,SOFT,10.0
2024,1,SAI,Ferrari,8.0,98.183,5.0,SOFT,11.0
