Year,Race,Driver,Team,QualifyingPosition,Q1,Q2,Q3,Status
2025,16,M VERSTAPPEN,Red Bull Racing,1.0,79.455,79.14,78.792,
2025,16,L NORRIS,McLaren,2.0,79.517,79.293,78.869,
2025,16,O PIASTRI,McLaren,3.0,79.711,79.286,78.982,
2025,16,C LECLERC,Ferrari,4.0,79.689,79.31,79.007,
2025,16,L HAMILTON,Ferrari,5.0,79.765,79.371,79.124,
2025,16,G RUSSELL,Mercedes,6.0,79.414,79.287,79.157,
2025,16,K ANTONELLI,Mercedes,7.0,79.747,79.245,79.2,
2025,16,G BORTOLETO,Kick Sauber,8.0,79.688,79.323,79.39,
2025,16,F ALONSO,Aston Martin,9.0,79.658,79.362,79.424,
2025,16,Y TSUNODA,Red Bull Racing,10.0,79.619,79.433,79.519,
2025,16,O BEARMAN,Haas F1 Team,11.0,79.688,79.446,,
2025,16,N HULKENBERG,Kick Sauber,12.0,79.777,79.498,,
2025,16,C SAINZ,Williams,13.0,79.644,79.528,,
2025,16,A ALBON,Williams,14.0,79.837,79.583,,
2025,16,E OCON,Haas F1 Team,15.0,79.816,79.707,,
2025,16,I HADJAR,Racing Bulls,16.0,79.917,,,
2025,16,L STROLL,Aston Martin,17.0,79.948,,,
2025,16,F COLAPINTO,Alpine,18.0,79.992,,,
2025,16,P GASLY,Alpine,19.0,80.103,,,
2025,16,L LAWSON,Racing Bulls,20.0,80.279,,,
2025,17,M VERSTAPPEN,Red Bull Racing,1.0,101.331,101.255,101.117,
2025,17,C SAINZ,Williams,2.0,102.635,101.675,101.595,
2025,17,L LAWSON,Racing Bulls,3.0,102.257,101.537,101.707,
2025,17,K ANTONELLI,Mercedes,4.0,102.247,101.464,101.717,
2025,17,G RUSSELL,Mercedes,5.0,101.646,101.455,102.07,
2025,17,Y TSUNODA,Red Bull Racing,6.0,102.347,101.788,102.143,
2025,17,L NORRIS,McLaren,7.0,101.322,101.396,102.239,
