Year,Race,Driver,Team,Position,GridPosition,Points,Status,BestQualifyingTime,GapToPole,QualifyingPerformance,PositionChange,driver_win_rate,team_reliability,race_winner,podium_finish,points_finish
2025,16,M VERSTAPPEN,Red Bull Racing,1.0,1.0,25.0,Finished,78.792,0.0,5.0,0.0,66.66666666666666,94.44444444444444,1,1,1
2025,16,L NORRIS,McLaren,2.0,2.0,18.0,Finished,78.869,0.0769999999999981,10.0,0.0,22.22222222222222,83.33333333333334,0,1,1
2025,16,O PIASTRI,McLaren,3.0,3.0,15.0,Finished,78.982,0.1899999999999977,15.0,0.0,0.0,83.33333333333334,0,1,1
2025,16,C LECLERC,Ferrari,4.0,4.0,12.0,Finished,79.007,0.2150000000000034,20.0,0.0,0.0,88.88888888888889,0,0,1
2025,16,G RUSSELL,Mercedes,5.0,5.0,10.0,Finished,79.157,0.3649999999999949,30.0,0.0,11.11111111111111,100.0,0,0,1
2025,16,L HAMILTON,Ferrari,6.0,10.0,8.0,Finished,79.124,0.3319999999999936,25.0,4.0,0.0,88.88888888888889,0,0,1
2025,16,A ALBON,Williams,7.0,14.0,6.0,Finished,79.1405,0.3485000000000013,70.0,7.0,0.0,66.66666666666666,0,0,1
2025,16,G BORTOLETO,Kick Sauber,8.0,7.0,4.0,Finished,79.323,0.5309999999999917,40.0,-1.0,0.0,55.55555555555556,0,0,1
2025,16,K ANTONELLI,Mercedes,9.0,6.0,2.0,Finished,79.2,0.4080000000000012,35.0,-3.0,0.0,100.0,0,0,1
2025,16,I HADJAR,Racing Bulls,10.0,19.0,1.0,Finished,79.1405,0.3485000000000013,80.0,9.0,0.0,55.55555555555556,0,0,1
2025,16,C SAINZ,Williams,11.0,13.0,0.0,Finished,79.1405,0.3485000000000013,65.0,2.0,0.0,66.66666666666666,0,0,0
2025,16,O BEARMAN,Haas F1 Team,12.0,11.0,0.0,Finished,79.1405,0.3485000000000013,55.00000000000001,-1.0,0.0,77.77777777777779,0,0,0
2025,16,Y TSUNODA,Red Bull Racing,13.0,9.0,0.0,Finished,79.433,0.6410000000000053,50.0,-4.0,0.0,94.44444444444444,0,0,0
2025,16,L LAWSON,Racing Bulls,14.0,18.0,0.0,Finished,79.1405,0.3485000000000013,100.0,4.0,0.0,55.55555555555556,0,0,0
2025,16,E OCON,Haas F1 Team,15.0,15.0,0.0,Lapped,79.1405,0.3485000000000013,75.0,0.0,0.0,77.77777777777779,0,0,0
2025,16,P GASLY,Alpine,16.0,20.0,0.0,Lapped,79.1405,0.3485000000000013,95.0,4.0,0.0,16.666666666666664,0,0,0
2025,16,F COLAPINTO,Alpine,17.0,17.0,0.0,Lapped,79.1405,0.3485000000000013,90.0,0.0,0.0,16.666666666666664,0,0,0
2025,16,L STROLL,Aston Martin,18.0,16.0,0.0,Lapped,79.1405,0.3485000000000013,85.0,-2.0,0.0,61.111111111111114,0,0,0
2025,16,F ALONSO,Aston Martin,19.0,8.0,0.0,Retired,79.362,0.5699999999999932,45.0,-11.0,0.0,61.111111111111114,0,0,0
2025,16,N HULKENBERG,Kick Sauber,20.0,12.0,0.0,Did not start,79.1405,0.3485000000000013,60.0,-8.0,0.0,55.55555555555556,0,0,0
2025,17,M VERSTAPPEN,Red Bull Racing,1.0,1.0,25.0,Finished,101.117,0.0,5.0,0.0,66.66666666666666,94.44444444444444,1,1,1
2025,17,G RUSSELL,Mercedes,2.0,5.0,18.0,Finished,101.455,0.3379999999999938,25.0,3.0,11.11111111111111,100.0,0,1,1
2025,17,C SAINZ,Williams,3.0,2.0,15.0,Finished,101.595,0.4779999999999944,10.0,-1.0,0.0,66.66666666666666,0,1,1
2025,17,K ANTONELLI,Mercedes,4.0,4.0,12.0,Finished,101.464,0.3469999999999942,20.0,0.0,0.0,100.0,0,0,1
2025,17,L LAWSON,Racing Bulls,5.0,3.0,10.0,Finished,101.537,0.4200000000000017,15.0,-2.0,0.0,55.55555555555556,0,0,1
2025,17,Y TSUNODA,Red Bull Racing,6.0,6.0,8.0,Finished,101.788,0.6709999999999923,30.0,0.0,0.0,94.44444444444444,0,0,1
2025,17,L NORRIS,McLaren,7.0,7.0,6.0,Finished,101.322,0.2049999999999983,35.0,0.0,22.22222222222222,83.33333333333334,0,0,1
2025,17,L HAMILTON,Ferrari,8.0,12.0,4.0,Finished,101.821,0.7039999999999935,60.0,4.0,0.0,88.88888888888889,0,0,1
2025,17,C LECLERC,Ferrari,9.0,10.0,2.0,Finished,101.458,0.340999999999994,50.0,1.0,0.0,88.88888888888889,0,0,1
2025,17,I HADJAR,Racing Bulls,10.0,8.0,1.0,Finished,101.647,0.5300000000000011,40.0,-2.0,0.0,55.55555555555556,0,0,1
2025,17,G BORTOLETO,Kick Sauber,11.0,13.0,0.0,Finished,101.8935,0.7764999999999844,65.0,2.0,0.0,55.55555555555556,0,0,0
2025,17,O BEARMAN,Haas F1 Team,12.0,15.0,0.0,Finished,101.592,0.4750000000000085,75.0,3.0,0.0,77.77777777777779,0,0,0
2025,17,A ALBON,Williams,13.0,19.0,0.0,Finished,101.592,0.4750000000000085,95.0,6.0,0.0,66.66666666666666,0,0,0
2025,17,E OCON,Haas F1 Team,14.0,20.0,0.0,Finished,101.592,0.4750000000000085,100.0,6.0,0.0,77.77777777777779,0,0,0
2025,17,F ALONSO,Aston Martin,15.0,11.0,0.0,Finished,101.857,0.7399999999999949,55.00000000000001,-4.0,0.0,61.111111111111114,0,0,0
2025,17,N HULKENBERG,Kick Sauber,16.0,17.0,0.0,Finished,101.592,0.4750000000000085,85.0,1.0,0.0,55.55555555555556,0,0,0
2025,17,L STROLL,Aston Martin,17.0,14.0,0.0,Finished,101.8935,0.7764999999999844,70.0,-3.0,0.0,61.111111111111114,0,0,0
2025,17,P GASLY,Alpine,18.0,18.0,0.0,Lapped,101.592,0.4750000000000085,90.0,0.0,0.0,16.666666666666664,0,0,0
2025,17,F COLAPINTO,Alpine,19.0,16.0,0.0,Lapped,101.592,0.4750000000000085,80.0,-3.0,0.0,16.666666666666664,0,0,0
2025,17,O PIASTRI,McLaren,20.0,9.0,0.0,Retired,101.414,0.296999999999997,45.0,-11.0,0.0,83.33333333333334,0,0,0
2025,18,G RUSSELL,Mercedes,1.0,1.0,25.0,Finished,89.158,0.0,5.0,0.0,11.11111111111111,100.0,1,1,1
2025,18,M VERSTAPPEN,Red Bull Racing,2.0,2.0,18.0,Finished,89.34,0.1820000000000021,10.0,0.0,66.66666666666666,94.44444444444444,0,1,1
2025,18,L NORRIS,McLaren,3.0,5.0,15.0,Finished,89.586,0.4279999999999972,25.0,2.0,22.22222222222222,83.33333333333334,0,1,1
2025,18,O PIASTRI,McLaren,4.0,3.0,12.0,Finished,89.524,0.3659999999999996,15.0,-1.0,0.0,83.33333333333334,0,0,1
2025,18,K ANTONELLI,Mercedes,5.0,4.0,10.0,Finished,89.537,0.3790000000000049,20.0,-1.0,0.0,100.0,0,0,1
2025,18,C LECLERC,Ferrari,6.0,7.0,8.0,Finished,89.784,0.6260000000000048,35.0,1.0,0.0,88.88888888888889,0,0,1
2025,18,F ALONSO,Aston Martin,7.0,10.0,6.0,Finished,89.955,0.796999999999997,50.0,3.0,0.0,61.111111111111114,0,0,1
2025,18,L HAMILTON,Ferrari,8.0,6.0,4.0,Finished,89.688,0.5300000000000011,30.0,-2.0,0.0,88.88888888888889,0,0,1
2025,18,O BEARMAN,Haas F1 Team,9.0,9.0,2.0,Finished,89.868,0.7099999999999937,45.0,0.0,0.0,77.77777777777779,0,0,1
