Year,Race,Driver,Team,Position,GridPosition,Points,Status
2025,16,M VERSTAPPEN,Red Bull Racing,1.0,1.0,25.0,Finished
2025,16,L NORRIS,McLaren,2.0,2.0,18.0,Finished
2025,16,O PIASTRI,McLaren,3.0,3.0,15.0,Finished
2025,16,C LECLERC,Ferrari,4.0,4.0,12.0,Finished
2025,16,G RUSSELL,Mercedes,5.0,5.0,10.0,Finished
2025,16,L HAMILTON,Ferrari,6.0,10.0,8.0,Finished
2025,16,A ALBON,Williams,7.0,14.0,6.0,Finished
2025,16,G BORTOLETO,Kick Sauber,8.0,7.0,4.0,Finished
2025,16,K ANTONELLI,Mercedes,9.0,6.0,2.0,Finished
2025,16,I HADJAR,Racing Bulls,10.0,19.0,1.0,Finished
2025,16,C SAINZ,Williams,11.0,13.0,0.0,Finished
2025,16,O BEARMAN,Haas F1 Team,12.0,11.0,0.0,Finished
2025,16,Y TSUNODA,Red Bull Racing,13.0,9.0,0.0,Finished
2025,16,L LAWSON,Racing Bulls,14.0,18.0,0.0,Finished
2025,16,E OCON,Haas F1 Team,15.0,15.0,0.0,Lapped
2025,16,P GASLY,Alpine,16.0,20.0,0.0,Lapped
2025,16,F COLAPINTO,Alpine,17.0,17.0,0.0,Lapped
2025,16,L STROLL,Aston Martin,18.0,16.0,0.0,Lapped
2025,16,F ALONSO,Aston Martin,19.0,8.0,0.0,Retired
2025,16,N HULKENBERG,Kick Sauber,20.0,12.0,0.0,Did not start
2025,17,M VERSTAPPEN,Red Bull Racing,1.0,1.0,25.0,Finished
2025,17,G RUSSELL,Mercedes,2.0,5.0,18.0,Finished
2025,17,C SAINZ,Williams,3.0,2.0,15.0,Finished
2025,17,K ANTONELLI,Mercedes,4.0,4.0,12.0,Finished
2025,17,L LAWSON,Racing Bulls,5.0,3.0,10.0,Finished
2025,17,Y TSUNODA,Red Bull Racing,6.0,6.0,8.0,Finished
2025,17,L NORRIS,McLaren,7.0,7.0,6.0,Finished
2025,17,L HAMILTON,Ferrari,8.0,12.0,4.0,Finished
2025,17,C LECLERC,Ferrari,9.0,10.0,2.0,Finished
2025,17,I HADJAR,Racing Bulls,10.0,8.0,1.0,Finished
2025,17,G BORTOLETO,Kick Sauber,11.0,13.0,0.0,Finished
2025,17,O BEARMAN,Haas F1 Team,12.0,15.0,0.0,Finished
2025,17,A ALBON,Williams,13.0,19.0,0.0,Finished
2025,17,E OCON,Haas F1 Team,14.0,20.0,0.0,Finished
2025,17,F ALONSO,Aston Martin,15.0,11.0,0.0,Finished
2025,17,N HULKENBERG,Kick Sauber,16.0,17.0,0.0,Finished
2025,17,L STROLL,Aston Martin,17.0,14.0,0.0,Finished
2025,17,P GASLY,Alpine,18.0,18.0,0.0,Lapped
2025,17,F COLAPINTO,Alpine,19.0,16.0,0.0,Lapped
2025,17,O PIASTRI,McLaren,20.0,9.0,0.0,Retired
2025,18,G RUSSELL,Mercedes,1.0,1.0,25.0,Finished
2025,18,M VERSTAPPEN,Red Bull Racing,2.0,2.0,18.0,Finished
2025,18,L NORRIS,McLaren,3.0,5.0,15.0,Finished
2025,18,O PIASTRI,McLaren,4.0,3.0,12.0,Finished
2025,18,K ANTONELLI,Mercedes,5.0,4.0,10.0,Finished
2025,18,C LECLERC,Ferrari,6.0,7.0,8.0,Finished
2025,18,F ALONSO,Aston Martin,7.0,10.0,6.0,Finished
2025,18,L HAMILTON,Ferrari,8.0,6.0,4.0,Finished
2025,18,O BEARMAN,Haas F1 Team,9.0,9.0,2.0,Finished
2025,18,C SAINZ,Williams,10.0,18.0,1.0,Lapped
2025,18,I HADJAR,Racing Bulls,11.0,8.0,0.0,Lapped
2025,18,Y TSUNODA,Red Bull Racing,12.0,13.0,0.0,Lapped
2025,18,L STROLL,Aston Martin,13.0,15.0,0.0,Lapped
2025,18,A ALBON,Williams,14.0,20.0,0.0,Lapped
2025,18,L LAWSON,Racing Bulls,15.0,12.0,0.0,Lapped
2025,18,F COLAPINTO,Alpine,16.0,16.0,0.0,Lapped
2025,18,G BORTOLETO,Kick Sauber,17.0,14.0,0.0,Lapped
2025,18,E OCON,Haas F1 Team,18.0,17.0,0.0,Lapped
2025,18,P GASLY,Alpine,19.0,19.0,0.0,Lapped
2025,18,N HULKENBERG,Kick Sauber,20.0,11.0,0.0,Lapped
2025,19,M VERSTAPPEN,Red Bull Racing,1.0,1.0,25.0,Finished
2025,19,L NORRIS,McLaren,2.0,2.0,18.0,Finished
2025,19,C LECLERC,Ferrari,3.0,3.0,15.0,Finished
2025,19,L HAMILTON,Ferrari,4.0,5.0,12.0,Finished
2025,19,O PIASTRI,McLaren,5.0,6.0,10.0,Finished
2025,19,G RUSSELL,Mercedes,6.0,4.0,8.0,Finished
2025,19,Y TSUNODA,Red Bull Racing,7.0,13.0,6.0,Finished
2025,19,N HULKENBERG,Kick Sauber,8.0,11.0,4.0,Finished
2025,19,O BEARMAN,Haas F1 Team,9.0,8.0,2.0,Finished
2025,19,F ALONSO,Aston Martin,10.0,10.0,1.0,Finished
2025,19,L LAWSON,Racing Bulls,11.0,12.0,0.0,Finished
2025,19,L STROLL,Aston Martin,12.0,19.0,0.0,Finished
2025,19,K ANTONELLI,Mercedes,13.0,7.0,0.0,Finished
2025,19,A ALBON,Williams,14.0,18.0,0.0,Finished
2025,19,E OCON,Haas F1 Team,15.0,17.0,0.0,Finished
2025,19,I HADJAR,Racing Bulls,16.0,20.0,0.0,Finished
2025,19,F COLAPINTO,Alpine,17.0,15.0,0.0,Lapped
2025,19,G BORTOLETO,Kick Sauber,18.0,16.0,0.0,Lapped
2025,19,P GASLY,Alpine,19.0,14.0,0.0,Lapped
2025,19,C SAINZ,Williams,20.0,9.0,0.0,Retired
